id,pdes,spkid,full_name,name,albedo,pha,H,spec_B,spec_T,e,a,i,om,w,ma,epoch_mjd,GM
a0000433,433,2000433,"   433 Eros (1898 DQ)",Eros,0.25,N,11.16,S,S,.2227357205256897,1.458112258549551,10.82856732664407,304.3062624764607,178.8213598069167,47.2394600142737,58600,4.463e-04
a0000719,719,2000719,"   719 Albert (1911 MT)",Albert,,N,15.4,S,,.546300939335375,2.638780196669932,11.56484503237207,183.8872856722652,156.1636690805159,48.3172521753407,58600,
a0000887,887,2000887,"   887 Alinda (1918 DB)",Alinda,0.31,N,13.4,,S,.5691156473282417,2.476487671729959,9.384537356044309,110.4284814357001,350.4143214209113,193.4143465783937,58600,
a0001036,1036,2001036,"  1036 Ganymed (1924 TD)",Ganymed,0.238,N,9.45,S,S,.5332347371639199,2.664145334031338,26.68761210432954,215.5575036681294,132.3963559720655,274.1561973898434,58600,
a0001221,1221,2001221,"  1221 Amor (1932 EA1)",Amor,,N,17.7,,,.4353210351202446,1.91941566321919,11.87652956555689,171.3372302802219,26.6748196824311,250.2803094387659,58600,
a0001566,1566,2001566,"  1566 Icarus (1949 MA)",Icarus,0.51,Y,16.9,,,.8268100281591301,1.077933978066808,22.85233704099325,88.08176570783561,31.29738217479578,33.02458717180237,53505,
a0001580,1580,2001580,"  1580 Betulia (1950 KA)",Betulia,0.08,N,14.7,,C,.4875957095290629,2.196729768306549,52.098230224,62.29224456812244,159.5055235075437,74.0179593176497,58600,
a0001620,1620,2001620,"  1620 Geographos (1951 RA)",Geographos,0.290,Y,15.60,S,S,.3354404976686703,1.245302339661789,13.33734731334848,337.1953964782677,276.9150420315145,311.5329560435175,58600,
a0001627,1627,2001627,"  1627 Ivar (1929 SH)",Ivar,0.15,N,13.2,S,S,.3966132610111223,1.863481492949008,8.450367814913152,133.1221719380713,167.7698133031485,101.5580081277266,58600,
a0001685,1685,2001685,"  1685 Toro (1948 OA)",Toro,0.31,N,14.23,S,S,.435833837157769,1.367307961318612,9.380085643136523,274.3374253745569,127.0621738534217,293.410724835625,54917,
a0001862,1862,2001862,"  1862 Apollo (1932 HA)",Apollo,0.25,Y,16.25,Q,Q,.5596865338199016,1.470282433932986,6.353058491496195,35.73285557647766,285.8531825576782,41.79715934262964,56311,
a0001863,1863,2001863,"  1863 Antinous (1948 EA)",Antinous,0.24,N,15.54,Sq,SU,.6065678050263545,2.258732646904167,18.4001063282489,346.4438830019772,268.0619556684883,313.6604457566613,58600,
a0001864,1864,2001864,"  1864 Daedalus (1971 FA)",Daedalus,0.273,N,14.85,Sr,SQ,.6143760900500185,1.461087899186772,22.20872506387995,6.633244579109712,325.6260400310421,357.9815284875077,58600,
a0001865,1865,2001865,"  1865 Cerberus (1971 UA)",Cerberus,0.22,N,16.84,S,S,.4668655529050803,1.080048256289336,16.09631223245546,212.9252334076821,325.2556247275824,12.03973070675303,58600,
a0001866,1866,2001866,"  1866 Sisyphus (1972 XA)",Sisyphus,0.15,N,12.4,S,,.5380638716438716,1.893971558479164,41.20139069696145,63.49506267644123,293.05989471315,312.9148580548084,58600,
a0001915,1915,2001915,"  1915 Quetzalcoatl (1953 EA)",Quetzalcoatl,0.21,N,18.97,,SMU,.5704927517813837,2.543337485245394,20.40373088494313,162.9369147385637,347.8537799008055,158.3285707607058,58600,
a0001916,1916,2001916,"  1916 Boreas (1953 RA)",Boreas,,N,14.93,S,S,.4494496510234751,2.273106337874877,12.87719579152881,340.614557575558,335.8399312279552,64.7046767345055,58600,
a0001917,1917,2001917,"  1917 Cuyo (1968 AA)",Cuyo,0.195,N,13.9,Sl,,.5056043549600134,2.148813260400369,23.9621092359041,188.3112310756229,194.5301303752378,129.4029351760186,58600,
a0001943,1943,2001943,"  1943 Anteros (1973 EC)",Anteros,0.17,N,15.75,L,S,.2560007060657568,1.430457204552795,8.706410046962759,246.3308429830543,338.3921483486041,317.7819369646957,58600,
a0001980,1980,2001980,"  1980 Tezcatlipoca (1950 LA)",Tezcatlipoca,0.25,N,13.92,Sl,SU,.3647443676454146,1.709520974377479,26.86959041675457,246.5742666400898,115.4530662338117,233.2322644003202,58600,
a0001981,1981,2001981,"  1981 Midas (1973 EA)",Midas,,Y,15.2,V,,.650353417909928,1.776599538133666,39.82689586872458,356.886302133863,267.7977398881659,146.2687119598268,58600,
a0002059,2059,2002059,"  2059 Baboquivari (1963 UA)",Baboquivari,,N,15.9,,,.5308367538472206,2.644280502505003,11.01360089314188,200.7056837095363,192.4045661365711,312.6456464056578,58600,
a0002061,2061,2002061,"  2061 Anza (1960 UA)",Anza,,N,16.4,,TCG:,.5354831558855887,2.264865880814631,3.798258964165572,207.3910138581475,157.0343337921682,64.84105952868457,58600,
a0002062,2062,2002062,"  2062 Aten (1976 AA)",Aten,0.26,N,16.80,Sr,S,.1827171340905242,.9667898316324987,18.93368681084476,108.6003764318441,148.0354055966093,172.267762763347,55926,
a0002063,2063,2002063,"  2063 Bacchus (1977 HB)",Bacchus,,N,17.3,Sq,,.3494748565654725,1.077885293910466,9.432249015069809,33.09691835845279,55.32942781051586,281.5459851614758,58600,
a0002100,2100,2002100,"  2100 Ra-Shalom (1978 RA)",Ra-Shalom,0.13,N,16.05,Xc,C,.436495873664867,.8320273509401266,15.7558475809407,170.8841366953742,355.9854421384555,350.0036603293902,53870,
a0002101,2101,2002101,"  2101 Adonis (1936 CA)",Adonis,,Y,18.8,,,.7644220916292501,1.874230110065124,1.323673143507661,349.5700994114479,43.55056640364229,182.5297445789602,58600,
a0002102,2102,2002102,"  2102 Tantalus (1975 YA)",Tantalus,0.245,Y,16.0,Q,,.2991815075859912,1.290099740925321,64.00689761155139,94.36244650565556,61.53939808194688,172.9411295135752,58600,
